id;nom;type;sous_type;masse_volumique_kg_m3;conductivite_w_mk;capacite_thermique_j_kgk;resistance_compression_mpa;module_young_gpa;resistance_traction_mpa;permeabilite_vapeur_mu;porosite_pct;reaction_feu_classe_euro;origine;contenu_recycle_pct;energie_grise_mj_kg;empreinte_carbone_kgco2e_kg;domaine_application;cout_eur_m2;fabricant;pays_origine;recyclable;durabilite_ans;sources;description;image_url;Unnamed: 26;Unnamed: 27;Unnamed: 28
1;Acier;Métal;Métal ferreux;7850.0;45.0;500.0;250.0;210.0;400.0;1000.0;0.0;A1;Synthétique;90.0;25.0;2.1;Structures, charpentes métalliques, ponts;50.0;;Monde entier;Oui;100.0;Fiches techniques matériaux, CSTB;Alliage fer-carbone très résistant, ductile, recyclable.;https://upload.wikimedia.org/wikipedia/commons/e/e4/Kaltbandcoils.jpg;;;
2;Béton précontraint;Minéral;Béton cimentaire;2400.0;1.75;880.0;40.0;30.0;3.5;80.0;10.0;A1;Synthétique;10.0;1.1;0.16;Ponts, dalles, bâtiments, ouvrages d’art;45.0;;France;Partiel;80.0;CSTB, Ecoinvent;Béton comprimé par câbles pour limiter la fissuration et augmenter les portées.;https://images.unsplash.com/photo-1549419137-b453e9619199?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
3;Bois massif;Biosourcé;Bois structurel;650.0;0.13;1600.0;35.0;11.0;90.0;50.0;60.0;D-s2,d0;Naturelle;0.0;2.3;-1.8;Structure, charpente, planchers, menuiserie;35.0;;France, Europe;Oui;60.0;Base INIES, FCBA;Matériau biosourcé renouvelable, isolant et esthétique.;https://upload.wikimedia.org/wikipedia/commons/e/ea/Pre-stressed_concrete_beam_detail.jpg;;;
4;Aérogel de silice;Minéral;Isolant minéral;100.0;0.015;800.0;1.0;0.02;0.1;10.0;90.0;A2;Synthétique;0.0;60.0;2.5;Isolation thermique haute performance, vitrages;120.0;;UE;Oui;30.0;Fiches techniques fabricants;Isolant nanoporeux ultra-léger, conductivité très faible, ininflammable.;https://images.unsplash.com/photo-1547385419-f55e09210c85?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
5;Verre;Minéral;Verre traditionnel;2500.0;1.0;750.0;1000.0;70.0;50.0;10000.0;0.0;A1;Synthétique;25.0;15.0;1.2;Vitrages, façades, isolants, revêtements;70.0;;Europe;Oui;50.0;INIES, Saint-Gobain;Matériau translucide et rigide utilisé pour les vitrages et parois.;https://images.unsplash.com/photo-1582234372722-526b15a6b097?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
6;adjuvant;Additif;Additif chimique;1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;;Sybthétique;31.9;23.96;1.68;Modification des propriétés du béton frais et durci (ouvrabilité, temps de prise, durabilité, perméabilité, etc.).;44.75;Sika, Chryso, Mapei;Monde entier;Non concerné;76.0;;Produits chimiques ajoutés en faible quantité au béton pour améliorer l’ouvrabilité, contrôler la prise, réduire l’eau, améliorer les résistances et la durabilité (superplastifiants, accélérateurs, retardateurs, entraîneurs d’air, hydrofuges…);https://images.unsplash.com/photo-1594220300898-d14251144083?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
7;verre photochromique;Minéral;Verre fonctionnel;2500.0;0.997;750.0;1000.0;30.25;50.0;10000.0;0.0;A1;Synthétique;25.0;9.51;0.61;Vitrages intelligents pour façades, bureaux, atriums, automobile, lunettes adaptatives.;55.77;NSG Group (ex : Silverlite™);Europe;Partiel;30.0;Vitrage dont la teinte varie automatiquement sous l’effet des UV. Réduit les apports solaires, améliore le confort visuel, diminue les besoins de climatisation (−35 à −45 % selon la simulation).;;https://images.unsplash.com/photo-1595180470659-635b7190f842?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
8;ouate de cellulose;Biosourcé;Isolant biosourcé;40.0;0.039;2100.0;0.3;0.1;0.35;2.0;90.0;B-s2,d0;Naturelle / recyclée;95.0;45.0;-1.4;"Isolation thermique et acoustique des combles, murs, planchers ; maisons bois, rénovation, bâtiments RE2020.";20.0;socell, Soprema;France/Europe;Oui;50.0;FDES INIES;Isolant biosourcé issu de papier recyclé, très bonne isolation thermique (λ ≈ 0,039 W/m·K), forte capacité thermique (c ≈ 2100 J/kg·K), excellente régulation hygrométrique et très faible empreinte carbone.;https://images.unsplash.com/photo-1628100650917-a169b50b9042?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
9;béton auto cictraisant;minéral;Béton cimentaire;2400.0;1.75;880.0;45.0;30.0;3.5;80.0;10.0;A1;Synthétique;10.0;1.2;0.18;Ouvrages durables (ponts, tunnels, structures marines, dalles fortement fissurées) où la réduction des fissures et des réparations est recherchée.;70.0;;Europe;Partiel;100.0;refs Jonkers;Béton contenant des bactéries et nutriments encapsulés. Lorsqu’une fissure se forme et que l’eau pénètre, les bactéries précipitent du carbonate de calcium qui colmate les fissures, réduisant la perméabilité et augmentant la durabilité.;https://images.unsplash.com/photo-1607513511854-46c5963955ce?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
10;PVC;Polymère;Thermoplastique;1350.0;0.19;900.0;105.99;3.0;39.22;15000.0;48.5;B–D;Pétrochimie;31.9;23.96;1.68;Canalisations, menuiseries;44.75;Alfaflex,CENIT Pipe;Monde;Oui;50.0;Fiches techniques et bases de données matériaux (propriétés mécaniques, densité, conductivité, résistance;Plastique rigide;https://images.unsplash.com/photo-1634938676231-155452d11345?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
11;Terre crue;Minéral naturel;Tere bâtie;1623.0;16.24;1000.0;105.99;29.3;39.22;7089.8;48.5;A1;Sol naturel;0.0;23.96;1.68;Murs, remplissages;44.75;;Local;Oui;100.0;Revues et études expérimentales compilant conductivité, capacité thermique, porosité et résistance.;Matériau bas carbone;https://images.unsplash.com/photo-1627945650393-4a18d1d80c3b?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
12;Bois lamellé croisé;Biosourcé;Bois structuel reconstitué;450.0;0.12;1600.0;5.14;1.61;13.07;11.6;88.1;D;Bois;39.4;2.1;-0.65;Planchers, murs;27.12;Schilliger Holz AG, Stora Enso,;EU/Canada;Oui;80.0;Brochures techniques et manuels (valeurs typiques de densité, module et comportement structural;Bois massif lamellé;https://images.unsplash.com/photo-1595827361413-644917a86c60?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
13;béton cellulaire;Minéral;Béton léger;1758.0;0.997;1000.0;197.52;30.25;11.65;1540.4;34.7;A1;Sable+chaux;24.7;9.51;0.61;Blocs isolants;55.77;;Europe;Oui;80.0;Fiches techniques fabricants et revues (densité, conductivité thermique, résistance;Béton léger isolant;https://images.unsplash.com/photo-1571520638575-fa52e505ed62?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
14;airium;Minéral;Isolant minéral;100.0;0.015;1000.0;1.0;0.02;0.1;5.0;90.0;A1;Ciment+mousse;0.0;60.0;2.5;Isolation, remplissage;120.0;Lafarge / Holcim;EU;Oui;80.0;Fiche produit / brochure Airium : densités réglables, λ, euroclasse, perméabilité, données énergie grise / CO₂;Béton mousse;https://images.unsplash.com/photo-1638202927233-a3d132386120?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
15;bambou;Biosourcé;Ressource végétale;252.0;0.2;1200.0;5.14;1.61;13.07;11.6;88.1;D;Plante;100.0;9.56;-0.65;Structures;27.12;;Asie;Oui;25.0;Revues scientifiques sur propriétés mécaniques (tensile, module, densité) et synthèses.;Fibre résistante;https://images.unsplash.com/photo-1616421921477-74220b33c5e8?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
16;titane;Métal;Métal non ferreux;4500.0;17.0;520.0;250.0;210.0;400.0;1000.0;0.0;A1;Minerai;65.0;25.0;30.0;Aérospatial;40.0;Aubert & Duval, WS Titanium;Monde;Oui;100.0;Fiches matériaux (MatWeb / ASM) et brochures industrielles (résistances, module, densité;Métal très performant;https://images.unsplash.com/photo-1620138546114-118c7c10b028?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
17;tuf volcanique;Roche naturelle;Roche volcanique;1623.0;16.24;850.0;105.99;29.3;39.22;10.0;48.5;A1;Roche;0.0;0.3;0.05;Maçonnerie;44.75;;Volcans;Oui;200.0;Etudes sur propriétés physiques/mécaniques des tufs (porosité, densité, conductivité;Pierre légère;https://images.unsplash.com/photo-1649931758245-73891465e940?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
18;béton leger;Minéral;Béton léger;1758.0;0.997;900.0;197.52;30.25;11.65;1540.4;34.7;A1;Ciment+granulats;24.7;9.51;0.61;Murs, dalles;55.77;;Monde;Oui;100.0;Articles et fiches techniques sur bétons allégés (densité, résistance, conductivité;Béton allégé;https://images.unsplash.com/photo-1607613768853-2d08a946b2b7?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
19;Béton armé;Minéral;Béton cimentaire;2500.0;2.5;880.0;50.0;40.0;5.0;1000.0;18.0;A1;Synthétique;30.0;2.5;0.13;Ponts, dalles, bâtiments, ouvrages d’art;80.0;laboratoires;France;Partiel;80.0;NF EN 206;doser et mélanger les matériaux, plaçer les armatures et laisser durcir le béton avec finition.;https://images.unsplash.com/photo-1549449339-be97b5e40698?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
20;La brique;Naturel;Terre cuite;2200.0;1.2;900.0;6.8;2.5;1.0;10.0;35.0;A1;Synthétique;30.0;1.0;0.1;bâtiments, ouvrages d’art;120.0;;France;oui;100.0;Guides APTE, fiche technique;Mélanger terre et stabilisant, compresser dans un moule, démouler, sécher et stocker.;https://images.unsplash.com/photo-1618218179294-81781423405c?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
21;La laine Naturelle;Biosourcé;Isolant biosourcé;40.0;0.045;1800.0;0.5;0.01;0.2;20.0;90.0;B‑s1, d0 ou A2‑s1;naturelle;15.0;0.6;0.06;Isolation thermique de murs, toitures, combles, doublages;40.0;Biofib;Europe;oui;45.0;CSTB, fiches techniques;Découper ou dérouler l’isolant selon l’épaisseur et la surface à couvrir, puis le placer entre les structures porteuses;https://images.unsplash.com/photo-1611090150965-0a8a65f144d8?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
22;Panneau de fibres de bois;Biosourcé;Isolant biosourcé;800.0;250.0;2100.0;0.1;0.2;0.5;5.0;90.0;Classe E;naturelle;20.0;3.0;0.15;Isolation thermique des murs, toitures, sols, ITE.;45.0;STEICO;Europe;oui;50.0;CSTB, fiches techniques fabricants;poser les panneaux entre les structures porteuses et ajuster pour assurer continuité et absence de ponts thermiques.;https://images.unsplash.com/photo-1596798020521-0a6b7d38e217?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
23;Panneau structurant isolant;Composite;Isolant composite;250.0;0.03;1600.0;0.4;5.0;0.4;200.0;95.0;Classe E/D-s2,d0;Synthétique;10.0;15.0;0.6;Parement de Finition Intérieur;80.0;Kingspan, Enercept;canada, UK;OUI;100.0;CSTB, ACERMI, AFNOR;Créer noyau isolant, ajouter parements, coller, presser, tailler, contrôler.;https://images.unsplash.com/photo-1591871275218-e3258c735d47?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
24;Céramique;Minéral;Produit cuits;2600.0;1.3;1100.0;200.0;120.0;30.0;200.0;20.0;A1;naturelle;30.0;7.0;0.45;Équipements techniques;50.0;Wienerberger, Terreal;Italie,chine,France;partiel;100.0;EN 14617;Façonner argile, sécher, cuire, émailler, contrôler, emballer, livrer.;https://images.unsplash.com/photo-1600880292203-9d11a54124c1?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
25;Platre;Minéral;Liant minéral;1200.0;0.25;1100.0;15.0;5.0;3.0;15.0;60.0;;Synthétique;30.0;1.5;0.15;Enduits et finitions murales;25.0;Placoplatre, Lafarge;Europe;partiel;50.0;marquage CE;Extraire gypse, broyer, chauffer, moudre, mélanger, mouler, sécher, emballer.;https://images.unsplash.com/photo-1618218179294-81781423405c?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
26;Béton GBR;Minéral;Béton recyclé;2400.0;1.8;1000.0;197.52;35.0;5.0;50.0;15.0;A1;Synthétique;95.0;1.5;0.4;Dallage, fondations, murs, routes, ouvrage;60.0;Solidia, Zeobond;Allemagne,France,Usa;oui;100.0;NF P 18-545;Trier concasser béton ajouter liant mélanger couler vibrer durcir.;https://images.unsplash.com/photo-1618218179294-81781423405c?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
27;Ciment Géopolymère;Minéral;Liant minéral;2200.0;1.2;1000.0;15.0;35.0;8.0;60.0;20.0;A2;Synthétique;40.0;1.5;0.2;routes, pavés, bordures, ouvrages à faible impact carbone;150.0;Lafarge (R&D géopolymères);Allemagne, USA;oui;100.0;EN 13813;Mélanger aluminosilicates, ajouter alcalins, couler, laisser réagir et durcir;https://images.unsplash.com/photo-1555700810-53900223788a?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max;;;
28;Acier noir;Métal;Acier carbone;7850.0;50.0;500.0;250.0;210.0;400.0;1000.0;0.0;A1;Sidérurgie;40.0;25.0;2.0;Structure, ossature;30.0;ArcelorMittal;Europe;Oui;100.0;FDES;Acier structural.;;;;
29;Cannabis (chanvre industriel);Biosourcé;Chanvre fibres;40.0;0.04;1700.0;0.02;0.0;0.1;2.0;90.0;E;Agricole;0.0;5.0;-1.0;Isolation;15.0;Divers;France;Oui;50.0;INIES;Isolant chanvre.;;;;
30;PSE (polystyrène expansé);Synthétique;Mousses;20.0;0.038;1300.0;0.15;0.0;0.2;50.0;98.0;E;Pétrochimie;10.0;90.0;3.2;Isolation;10.0;Knauf;Monde;Partiel;50.0;FDES;Isolant léger.;;;;
31;Liège expansé;Biosourcé;Liège;120.0;0.04;1800.0;0.3;0.05;0.5;10.0;95.0;E;Écorce chêne liège;95.0;10.0;-0.5;Isolation/sols;25.0;Amorim;Portugal;Oui;80.0;INIES;Isolant naturel.;;;;
32;Béton imprimé (béton 3D);Minéral;Béton;2300.0;1.7;900.0;20.0;25.0;2.5;80.0;15.0;A1;Minéral;10.0;5.0;0.15;Structure;40.0;Divers;Monde;Non;100.0;FDES;Béton extrudé.;;;;
33;Paille;Biosourcé;Botte de paille;100.0;0.06;1900.0;0.01;0.0;0.05;2.0;95.0;E;Agricole;0.0;3.0;-1.0;Murs ossature bois;12.0;Agriculteurs;France;Oui;80.0;INIES;Paille compressée.;;;;
34;Verre cellulaire;Minéral;Mousse verre;130.0;0.045;800.0;0.7;5.0;1.5;1540.4;98.0;A1;Verre recyclé;60.0;15.0;1.2;Isolation soubassements;40.0;Foamglas;Europe;Oui;80.0;FDES;Incompressible, étanche.;;;;
35;Laine de mouton;Biosourcé;Panneaux / rouleaux / vrac;30.0;0.04;1800.0;0.02;0.02;0.15;2.0;95.0;E à C;Fibre animale (toison de mouton lavée et traitée);30.0;15.0;0.3;Isolation thermique : toitures, combles, murs ossature bois;25.0;Isolain, Buitex;Nouvelle-Zélande, Europe;Oui;60.0;FDES;Isolant thermique naturel;;;;
36;Coquillage;Granulat naturel / matériau biosourcé marin;Carbonate de calcium (calcite + aragonite);1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;A1 (non combustible);Ressource naturelle – coquilles marines (huîtres, moules, St-Jacques);31.9;23.96;1.68;Béton coquillier, pavés drainants, murs en coquilles, peinture cool-roof, isolation thermique, régulation d’humidité;44.75;Ostrea;France;Oui;76.0;;Matériau à 95–99,9 % de CaCO₃, rigide, résistant, très bonne isolation, régulation d’humidité, forte réduction de CO₂, économie circulaire, utilisable en béton, peinture réflective, murs ventilés, isolants.;;;;
37;Pierre (Calcaire, Marbre, Granit, Grès);Roche naturelle;Sédimentaire (Calcaire, Grès) / Métamorphique (Marbre) / Magmatique (Granit);1623.0;16.24;850.0;105.99;29.3;39.22;10.0;48.5;A1 (non combustible);Roche naturelle issue de carrières (calcaire, marbre, granit, grès);0.0;0.3;0.05;Pavage, parements, revêtements extérieurs, structurels, dallages, décoration, sculptures, filtration (grès), plans de travail;44.75;;Extraction locale ou importée selon carrière;Oui (réemploi en blocs, recyclage en granulat possible);200.0;;Usages : construction, dallage, parement, décoration, filtration. Avantages : durabilité, esthétique, prestige, résistance. Inconvénients : poids, coût, sensibilité aux acides (marbre), porosité (grès), impact extraction.;;;;
38;Terre Paille;Matériau biosourcé / terre crue;Mélange terre argileuse + fibres végétales (paille);1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;C-s1, d0;Mélange traditionnel utilisé depuis l’Égypte antique, Mésopotamie, Maghreb, Allemagne;31.9;23.96;1.68;- Doublage murs anciens,Remplissage murs ossature bois - Panneaux préfabriquésConstruction neuve écologique;44.75;Aucun (matériau artisanal / filière locale);Égypte, Mésopotamie, Maghreb, Allemagne;Oui, 100 % (fin de vie = compost, réemploi possible);76.0;;Matériau composé de 60% terre argileuse / 30% paille / 10% eau. Excellente isolation, forte capacité hygrométrique, faible énergie grise, 100% recyclabilité. Mise en œuvre : barbotine, coffrage, tassement manuel. Utilisé comme isolation, remplissage ou panneaux préfabriqués;;;;
39;Matériaux à Changement de Phase (MCP / PCM);Matériau thermo-actif;Organique (paraffines, acides gras) / Inorganique (sels hydratés) / Micro-encapsulés ou macro-encapsulés;1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;Parrafine et acides gras: Très inflammable, classe E / F , sels hydratés Non inflammable, classe A1;Matériaux innovants issus de l’industrie chimique, intégrés dans enveloppes, polymères ou matrices minérales;31.9;23.96;1.68;Bâtiment : intégrés au plâtre, béton, isolants, murs, planchers, toitures - Fenêtres GlassX (sels hydratés) - Rideaux thermiques - Stockage thermique actif et passif - Électronique (anti-surchauffe) - Textile (régulation thermique);44.75;Laird Technologies (Tmate Series) / autres fabricants selon version;Usage mondial – technologie d’ingénierie thermique;• Organique encapsulé → recyclable partiellement • Inorganique → plus stable et durable;76.0;;Les MCP changent d’état (solide/liquide) entre 10 °C et 80 °C et stockent une très grande quantité d’énergie latente. Leur capacité de stockage est 10× supérieure au béton, et ils permettent une stabilisation thermique des bâtiments. Applications passives (murs, sols, toitures, fenêtres) et actives (stockage chaleur/froid). Leur performance dépend de l’encapsulation.;;;;
40;Béton de chanvre;Matériau biosourcé / isolant végétal;Mélange chaux + chènevotte (partie ligneuse du chanvre);1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;Classé M0 (incombustible);Chanvre cultivé en France (Champagne, Bretagne, Bourgogne) + chaux;31.9;23.96;1.68;murs banchés - Projection mécanique - Blocs préfabriqués - Enduits isolants - Rénovation & Construction écologique;44.75;Biofib’Hemp, IsoHemp, Chanvribloc;France;Oui – 100 % biodégradable ou réutilisable;76.0;Non fourni;Matériau léger, poreux, isolant, respirant, régulateur hygrothermique, acoustique performant, incombustible M0, stockage naturel de CO₂, énergie grise très faible. Utilisé en murs, enduits, isolation et rénovation écologique;;;;
41;Laine de roche;Isolant minéral;Fibres minérales issues de roches volcaniques (basalte);1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;A1 (incombustible), point de fusion > 1000 °C;Roches volcaniques (basalte) fondues puis fibrées;31.9;23.96;1.68;Industrie : fours, chaudières, turbines, conduites, coupe-feu, pétrole/gaz Bâtiment : murs, cloisons, planchers, combles, façades, isolation acoustique (studios, cinémas);44.75;Rockwool, Knauf Insulation, Isover, Paroc;Produite mondialement (Europe très présente);Oui;76.0;non fourni;Isolant minéral performant : très bonne isolation thermique et acoustique, incombustible A1, longue durée de vie. Fabrication énergivore. Irritant à la pose.;;;;
42;Bitume;Matériau hydrocarboné / liant routier;Naturel ou dérivé du pétrole (distillation);1623.0;16.24;1177.6;105.99;29.3;39.22;7089.8;48.5;Classe E;• naturel (gisements) • distillation du pétrole (présentation);31.9;23.96;1.68;Construction routière (enrobés) - Étanchéité (toitures, terrasses, fondations) - Ouvrages hydrauliques (canaux, bassins) - Industrie (protection corrosion) - Pistes d’aéroport;44.75;TotalEnergies, Shell Bitumen, Nynas;Production mondiale (raffineries);Oui — réintégrable dans enrobés recyclés (RAP);76.0;;"Matériau viscoélastique noir, collant ; parfaitement étanche ; excellent liant ; large gamme : pur, modifié polymères, fluxé, émulsion, oxydé ; utilisé dans routes et étanchéité.";;;;
43;Acier à mémoire de forme;Alliage métallique intelligent;Fe-Mn-Si (alliage à mémoire de forme pour le génie civil);1623.0;16.24;1177.6;105.99;29.3;39.22;0.0;0.0;Métal non combustible (≈ A1);Japon (1980), perfectionné en Suisse (Empa / ETH Zurich);31.9;23.96;1.68;• Renforcement de poutres, dalles béton • Confinement parasismique • Assemblages métalliques précontraints • Réhabilitation de ponts et structures • Génie civil (précontrainte sans vérins);44.75;Awaji Materia, Empa;Suisse, Japon;Oui;76.0;;Alliage intelligent Fe-Mn-Si capable de récupérer sa forme après activation thermique. Génère une forte précontrainte, améliore durabilité et résistance des structures, idéal pour réparation et sismique.;;;;
44;Géosynthétiques;Synthétique;Géotextile/géomembranes;1350.0;0.25;1400.0;0.1;1.0;20.0;50.0;40.0;E;Synthétique;20.0;80.0;2.5;Renforcement des sols, drainage, étanchéité, séparation;5.0;Divers fabricants de géosynthétiques;Global;Partiel;50.0;Littérature géosynthétique, INIES;Famille de produits synthétiques (géotextiles, géomembranes, géogrilles) utilisés pour renforcer, drainer et étancher les sols.;;;;
45;Aluminium;Métallique;Alumium;2700.0;205.0;900.0;200.0;70.0;150.0;10000.0;0.0;A1;Métallique;90.0;170.0;8.5;Façades, menuiseries, toitures, structures légères;50.0;Producteurs d'aluminium et gammistes;Global;Oui;80.0;Base INIES, EAA, fabricants;Métal léger et durable, très recyclable, utilisé pour les façades, menuiseries et structures légères.;;;;
46;PEHD;Synthétique;Polyéthylène haute densité;950.0;0.45;1900.0;20.0;1.0;25.0;200000.0;0.0;E;Synthétique;50.0;80.0;2.0;Réseaux d'eau, assainissement, gaines, géomembranes PEHD;10.0;Fabricants de tuyaux PEHD;Global;Oui;100.0;Fiches techniques PEHD, INIES;Polymère thermoplastique résistant à la corrosion, utilisé pour les réseaux enterrés et géomembranes.;;;;
47;Polyuréthane;Synthétique;Mousse rigide PUR;35.0;0.025;1400.0;0.2;0.05;0.1;80.0;90.0;F;Synthétique;5.0;110.0;4.0;Isolation thermique projectée, toitures, murs, planchers;25.0;Applicateurs de mousse PUR;Global;Partiel;40.0;INIES, SNPU, fabricants PUR;Mousse isolante à très faible conductivité thermique, mais forte énergie grise et recyclabilité limitée.;;;;
48;Perlite expansée;Minéral;Perlite expansée;80.0;0.045;900.0;0.5;0.2;0.0;5.0;95.0;A1;Minérale;0.0;5.0;0.2;Isolation, chapes, légères, formes de pente en toiture;15.0;Fabricants d'isolants minéraux;Global;Oui;60.0;INIES, CSTB, fiche perlite;Isolant minéral léger, incombustible, utilisé en vrac ou en panneaux pour l'isolation et les bétons légers.;;;;
49;La chaux;Minéral;Chaux hydraulique/aérienne;550.0;0.35;1000.0;3.0;3.0;0.5;10.0;40.0;A1;Minérale;10.0;4.0;0.25;Mortiers, enduits, bétons de chaux, rénovation du bâti ancien;20.0;Producteurs de chaux;Europe;Oui;80.0;INIES, documents chaux, CSTB;Liant minéral traditionnel, compatible avec les supports anciens, perméable à la vapeur d'eau et moins carboné que le ciment.;;;;
50;Ciment;Minéral;Ciment Portland CEM I;3150.0;1.0;750.0;40.0;25.0;4.0;50.0;5.0;A1;Minérale;5.0;4.5;0.9;Bétons, mortiers, ouvrages structuraux;10.0;Cimenteries;Global;Oui;100.0;INIES, InfoCiments, Ecoinvent;Liant hydraulique principal des bétons et mortiers, à forte empreinte carbone mais très performant mécaniquement.;;;;
51;Mousse mycélienne;Naturel;Matériau mycélien biosourcé;100.0;0.04;1500.0;1.0;0.5;0.3;5.0;90.0;C;Biosourcé;100.0;7.5;-0.8;Panneaux isolants biosourcés, remplissage léger, prototypes structurels;40.0;Start-ups matériaux biosourcés;Europe/Amérique du Nord;Oui;30.0;Littérature scientifique, présentations mousse mycélienne;;Matériau isolant biosourcé issu de mycélium et de déchets agricoles, à énergie grise très faible et bilan carbone négatif.;;;
